location,content_summary,relevance_signal,confidence,dataset_source
"Main text - Spleen composition changes (page 592)","Reports that the proportion of T cells decreases while the relative amount of plasma cells increases with age in the spleen. Supported by upregulation of B cell and plasma cell markers Cd79a and Jchain and downregulation of Cd3d.",methodological match,High,all
"Main text - Mammary gland T cell decline (page 592)","Reports a decline of the T cell population in the mammary gland with age, noting that age-related decline of T cell populations is associated with increased risk of infectious disease and cancer.",methodological match,High,all
"Main text - AP1 transcription factors in mammary gland (page 592-593)","Reports that AP1 transcription factors (Junb, Jund, and Fos) are upregulated with age in mammary gland, consistent with increased expression of this gene family accompanying normal mammary gland involution.",methodological match,High,all
"Main text - Liver composition changes (page 593)","Reports age-related decrease in hepatocyte proportion (supported by reduction of albumin Alb expression), increased immune signature (overexpression of H2-Aa, H2-Ab1, H2-D1, H2-Eb1, Cd74, Lyz2), and identification of Il1b as showing markedly different expression with age.",methodological match,High,all
"Main text - Liver Kupffer cells and Il1b (page 593)","Reports that the number of cells expressing both Clec4f and Il1b increased with age. In situ RNA staining confirmed Clec4f-positive Kupffer cell numbers do not change, but co-staining reveals Il1b increases in Kupffer cells with age.",explicit reference,High,all
"Main text - Liver sinusoidal endothelial cells (LSECs) (page 593)","Reports increased Mrc1 expression in Kupffer cells while overall Mrc1 in endothelial cells decreased with age. In situ staining for Mrc1 alongside LSEC marker Pecam1 showed the number of Mrc1-expressing LSECs increased with age, though Mrc1 expression per cell did not increase.",explicit reference,High,all
"Main text - Genomic instability / mutation analysis (page 593)","Using the Genome Analysis ToolKit to identify single-nucleotide polymorphisms across all FACS samples, reports an age-related increase in the number of mutations across all organs, with tongue and bladder most affected. Controlled for sequencing coverage and verified against ERCC spike-in controls.",explicit reference,High,all
"Main text - Immune clonal analysis - B cells (page 593)","Computationally reconstructed B cell receptor sequences from FACS data. Reports 6050 B cells with assembled receptors. The proportion of cells belonging to a clonal family increased from 9% at 3 months to 20% at 18 months and doubled from 18 to 24 months (~38%).",explicit reference,High,all
"Main text - Immune clonal analysis - T cells (page 593)","Computationally reconstructed T cell receptor sequences from FACS data using TraCeR. Reports 6000 T cells with assembled receptors. Clonotype assignment shows proportion of cells part of a clone increased from ~3% at 3 months to ~23% at 18 months and ~20% at 24 months.",explicit reference,High,all
"Main text - Diversity score analysis (page 593-594)","Computed an overall diversity score (Shannon entropy of cluster assignment regressed against age) to identify cell types more susceptible to changes with age. Found significant changes in diversity for immune cells from brain and kidney.",methodological match,High,all
"Main text - Brain microglia trajectory analysis (page 594)","Trajectory analysis of brain myeloid microglial cells shows young microglia transition through an intermediate state. Old microglia (clusters 10, 12, 14) upregulate MHC class I genes (H2-D1, H2-K1, B2m) and genes associated with degenerative disease (Fth1). Differential expression resembles Alzheimer's disease-specific microglial signature.",methodological match,High,all
"Main text - Kidney macrophage clusters (page 594)","Reports two kidney macrophage clusters with age-dependent composition. Cluster 10 is enriched for M2-macrophage genes (Il10, H2-Eb1, H2-Ab1, H2-Aq, Cd74, Cxcl16, Hexb, Cd81, Clqb, Cd72), while cluster 13 resembles an M1-proinflammatory macrophage state (Hp, Itgal, Msrb1, Gngt2).",methodological match,High,all
"Fig. 1a","Bar plot showing the number of sequenced cells per organ prepared by FACS (n=23 organs) and microfluidic droplets (n=16 organs) from 19 male and 11 female mice at 6 time points.",figure/table source,High,all
"Fig. 1b","Annotation workflow showing how the Tabula Muris 3-month data served as reference for automated cell annotation pipeline, followed by expert curation.",figure/table source,High,all
"Fig. 1c-d","UMAP plot of all cells coloured by organ (c) and overlaid with age (d); n=356213 individual cells.",figure/table source,High,all
"Fig. 1e","B cells independently annotated for each organ cluster together by unbiased whole-transcriptome Louvain clustering irrespective of organ of origin.",figure/table source,High,all
"Fig. 1f","Endothelial cells independently annotated for each organ cluster together by unbiased whole-transcriptome Louvain clustering irrespective of organ of origin.",figure/table source,High,all
"Fig. 2a-b","Bar plots showing fractions of cells expressing Cdkn2a in each age group for FACS (a) and droplet (b) experiments.",figure/table source,High,all
"Fig. 2c-d","Bar plots of the median expression of Cdkn2a for cells that express it at each age group for FACS (c) and droplet (d).",figure/table source,High,all
"Fig. 2e","Relative abundances of bladder cell and bladder urothelial cells changing significantly with age.",figure/table source,High,all
"Fig. 2f","Top 20 upregulated and downregulated genes in bladder computed using MAST with age as continuous covariate controlling for sex.",figure/table source,High,all
"Fig. 2g","Relative abundances of kidney capillary endothelial cells, kidney mesangial cells, kidney loop of Henle ascending limb epithelial cells, and kidney loop of Henle thick ascending limb epithelial cells with age.",figure/table source,High,all
"Fig. 2h","Top 20 upregulated and downregulated genes in kidney computed using MAST with age as continuous covariate controlling for sex.",figure/table source,High,all
"Fig. 2i","Relative abundances of spleen plasma cells changing significantly with age.",figure/table source,High,all
"Fig. 2j","Relative abundances of spleen T cells changing significantly with age.",figure/table source,High,all
"Fig. 3a-f","Distribution of the difference of mean number of mutations in the gene set (and ERCC spike-in controls) per cell between 18 and 3 months and between 24 and 3 months, for all tissues and cells (a) and split into five functional groups: endothelial (b), immune (c), parenchymal (d), stem/progenitor (e), and stromal (f) cells.",figure/table source,High,main_scrna_geo
"Fig. 4a","Pie charts showing the proportion of singleton B cells and B cells that are part of clonal families at 3, 18, and 24 months. 6050 B cells with assembled BCR.",figure/table source,High,main_scrna_geo
"Fig. 4b","Pie charts showing the proportion of singleton T cells and T cells that are part of clonal families at 3, 18, and 24 months. 6000 T cells with assembled TCR.",figure/table source,High,main_scrna_geo
"Fig. 4c","Diversity scores for the two cell types (kidney macrophage and brain myeloid microglial cell) for which the score changes significantly with age, shown at different clustering resolutions and methods.",figure/table source,High,all
"Fig. 4d","UMAP plot of brain myeloid microglial cell Leiden clusters coloured by age, showing clusters 1, 6, 12, and 14.",figure/table source,High,main_scrna_geo
"Fig. 4e","UMAP plot of brain myeloid microglial cells scored using the microglia Alzheimer's disease signature, showing separation of young (3-month) and old (18- and 24-month) cells.",figure/table source,High,main_scrna_geo
"Fig. 4f","UMAP plot of kidney macrophage Leiden clusters coloured by age, showing clusters 10 and 13 with age-dependent composition.",figure/table source,High,all
"Extended Data Fig. 1a-f","UMAP visualizations of the whole Tabula Muris Senis dataset coloured by tissue, age, and organ for FACS (a-c; n=110824) and droplet (d-f; n=245389) separately.",figure/table source,High,all
"Extended Data Fig. 1g-h","B cells and endothelial cells independently annotated for each organ cluster by unbiased Louvain clustering in FACS (g) and droplet (h).",figure/table source,High,all
"Extended Data Fig. 1i-j","UMAP of all cells coloured by method (i) or tissue (j) for FACS and droplet combined; n=356213.",figure/table source,High,all
"Extended Data Fig. 1k-l","Fraction of B cells (k) and endothelial cells (l) per cluster for droplet and FACS, showing consistency across technologies.",figure/table source,High,all
"Extended Data Fig. 2a-b","Pie charts with summary statistics for FACS (a: n=164311 total, 110824 annotated) and droplet (b: n=418908 total, 245389 annotated) including filtering criteria.",figure/table source,High,all
"Extended Data Fig. 2c","Box plot of number of genes detected per cell for each organ and age for FACS.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 2d","Box plot of number of reads per cell (log scale) for each organ and age for FACS.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 3a","Box plot of number of genes detected per cell for each organ and age for droplet.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 3b","Box plot of UMIs per cell (log scale) for each organ and age for droplet.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 4a","Balloon plot showing the number of sequenced cells per sequencing method per organ per sex per age.",figure/table source,High,all
"Extended Data Fig. 4b","Schematic of the analysis workflow from raw data through QC filtering, tissue preprocessing, tissue analysis, cell annotation, global analysis, and downstream analysis.",figure/table source,High,all
"Extended Data Fig. 4c-d","Tabula Muris Senis colour dictionary for organs and tissues (c) and ages (d).",figure/table source,High,all
"Extended Data Fig. 5a-b","Comparison of bulk and single-cell datasets showing that ageing patterns from bulk gene expression can be explained by cell or read count-based changes in single-cell FACS (a) and droplet (b) data.",figure/table source,High,all
"Extended Data Fig. 5c","Mammary gland T cell relative abundances changing significantly with age.",figure/table source,High,all
"Extended Data Fig. 5d","Top 20 upregulated and downregulated genes in mammary gland computed using MAST with age as continuous covariate.",figure/table source,High,all
"Extended Data Fig. 5e","Marrow precursor B cell relative abundances changing significantly with age.",figure/table source,High,all
"Extended Data Fig. 5f","Top 20 upregulated and downregulated genes in marrow computed using MAST.",figure/table source,High,all
"Extended Data Fig. 5g","Skin keratinocyte stem cell relative abundances changing significantly with age.",figure/table source,High,all
"Extended Data Fig. 5h","Top 20 upregulated and downregulated genes in skin computed using MAST.",figure/table source,High,all
"Extended Data Fig. 6a","Relative abundances of liver hepatocytes changing significantly with age.",figure/table source,High,all
"Extended Data Fig. 6b-d","Bright-field imaging of hepatocytes at different ages (b) and respective quantification of cell size (c) and cell number (d).",figure/table source,High,all
"Extended Data Fig. 6e","Top 10 upregulated and downregulated genes in liver computed using MAST with age as continuous covariate.",figure/table source,High,all
"Extended Data Fig. 6f-k","Gene expression of Il1b, Clec4f (f), and Pecam1 and Mrc1 (k) in the liver droplet dataset for the six ages.",figure/table source,High,all
"Extended Data Fig. 6g-j","In situ RNA staining of Kupffer cells for Clec4f and Il1b at 3, 12, and 30 months (g) and quantification of Clec4f-positive cells (h), Il1b-positive cells (i), and Il1b/Clec4f ratio (j).",figure/table source,High,all
"Extended Data Fig. 6l-o","In situ RNA staining of liver endothelial cells for Pecam1 and Mrc1 at 3, 12, and 30 months (l) and quantification of Pecam1-positive cells (m), Mrc1-positive cells (n), and Mrc1/Pecam1 ratio (o).",figure/table source,High,all
"Extended Data Fig. 7a-f","Mean number of somatic mutations in genes (a, c, e) and ERCC spike-in controls (b, d, f) across all tissues per age group for 3 vs 24 months (a-b), 3 vs 18 months (c-d), and 18 vs 24 months (e-f).",figure/table source,High,main_scrna_geo
"Extended Data Fig. 8a-f","Gene raw expression (a, c, e) and ERCC spike-in control raw expression (b, d, f) across all tissues per age group for 3 vs 24 months, 3 vs 18 months, and 18 vs 24 months, presented as mean counts per gene or ERCC spike-in per cell.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 9a","B-cell clonal families represented as tree structures for each time point (3, 18, and 24 months), with cells coloured by organ of origin.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 9b","T-cell clonal families represented as tree structures for each time point (3, 18, and 24 months), with cells coloured by organ of origin.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 10a-b","Heat map summary of the overall tissue diversity score for FACS (a) and droplet (b) across multiple clustering resolutions and methods.",figure/table source,High,all
"Extended Data Fig. 10c-d","Heat map summary of tissue-cell type level diversity score for FACS (c) and droplet (d) across multiple clustering resolutions and methods.",figure/table source,High,all
"Extended Data Fig. 11a","Diversity score at different cluster resolutions for FACS brain myeloid microglial cells, with Benjamini-Hochberg adjusted P values. n=14 mice.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 11b","Diversity score at different cluster resolutions for droplet kidney macrophage, with Benjamini-Hochberg adjusted P values. n=16 mice.",figure/table source,High,all
"Extended Data Fig. 11c-d","Diversity score correlation with the number of genes expressed per tissue (c) or tissue-cell type (d), showing results are not confounded by gene count.",figure/table source,High,all
"Extended Data Fig. 11e","Trajectory analysis for brain myeloid microglia cells using partition-based graph abstraction (PAGA), coloured by age.",figure/table source,High,main_scrna_geo
"Extended Data Fig. 11f","Heat map showing differential gene expression analysis of cluster 10 (mostly young macrophages) compared with cluster 13 (mostly old macrophages) in kidney.",figure/table source,High,all
"Methods - Experimental procedures","Describes mouse collection from NIA colony at Charles River, housing at VMU and VA Palo Alto. C57BL/6JN mice, male and virgin female, ages 1m through 30m. Tissue collection from 23 organs with organ-specific dissociation protocols.",cross-reference in methods,High,all
"Methods - Single-cell methods","Describes FACS sorting protocol using Smart-seq2 and library preparation using Tn5 in-house version. References protocols.io for further details.",cross-reference in methods,High,main_scrna_geo
"Methods - Microfluidic droplet single-cell analysis","Describes droplet capture using GemCode Single-Cell Instrument (10x Genomics) with 3-prime Gel Bead and Library V2 Kit. Target output of 5000 cells per sample.",cross-reference in methods,High,main_scrna_geo
"Methods - In situ RNA hybridization and quantification","Describes Advanced Cell Diagnostics RNAscope used for liver staining of Clec4f, Il1b, Pecam1, and Mrc1 probes to validate scRNA-seq findings in liver tissue at 3, 12, and 30 months.",cross-reference in methods,High,all
"Methods - Data extraction","Describes computational pipeline: bcl2fastq for de-multiplexing, STAR v.2.5.2b for FACS alignment, HTSEQ v.0.6.1p1 for gene counts, CellRanger v.2.0.1 for droplet de-multiplexing and alignment.",cross-reference in methods,High,all
"Methods - Data pre-processing","Describes use of Scanpy v.1.4.2 for combining gene count tables with metadata, quality filtering criteria (min 3 cells, 250 genes, 5000 reads for FACS, 2500 UMIs for droplet), normalization, PCA, neighbourhood graph construction, Louvain and Leiden clustering, and UMAP visualization.",cross-reference in methods,High,all
"Methods - Cell type annotation","Describes per-organ independent analysis combining all ages, using Tabula Muris 3-month data subset for automated annotation, followed by expert review. Step-by-step instructions available on GitHub.",cross-reference in methods,High,all
"Methods - Tissue cell composition analysis","Describes computation of relative proportion of each cell type per tissue and age using scipy.stats linear regression against age, with significance testing using two-sided Wald test.",cross-reference in methods,High,all
"Methods - Differential gene expression","Describes MAST linear model for differential expression with age as continuous variable, controlling for sex and technology, with FDR threshold of 0.01 and age coefficient threshold of 0.005 (~10% fold change).",cross-reference in methods,High,all
"Methods - Comparison between bulk and single-cell datasets","Describes per-tissue differential gene analysis comparing FACS/droplet single-cell data with bulk RNA-seq, using Spearman correlation and Wilcoxon-Mann-Whitney test to assess whether log2 fold-changes in cell or read counts distinguish up- and downregulated bulk genes.",cross-reference in methods,High,all
"Methods - T cell processing","Describes use of TraCeR v.0.5 with dependencies (igblast, kallisto, Salmon, Trinity) and species Mmus to identify T cell clonal populations from FACS data.",cross-reference in methods,High,main_scrna_geo
"Methods - B cell processing","Describes use of singlecell-ige v.eafb6d126cc2d6511faae3efbd442abd7c6dc8ef to identify B cell clonal populations from FACS data.",cross-reference in methods,High,main_scrna_geo
"Methods - Mutation analysis","Describes use of samtools v.1.9 and GATK v.4.1.1.0 for mutation calling on FACS data, including index creation, read group assignment, and HaplotypeCaller. Results summarized per gene as mutation count per cell table.",cross-reference in methods,High,main_scrna_geo
"Methods - Trajectory analysis","Describes use of partition-based graph abstraction (PAGA) to reconstruct the ageing trajectory in brain microglial cells from FACS data.",cross-reference in methods,High,main_scrna_geo
"Methods - Diversity score","Describes computation of Shannon entropy-based diversity score using raw FACS or droplet data, with clustering of every tissue-cell type for every mouse separately using 6 different configurations (3 resolutions x 2 methods). FDR correction for multiple comparisons with FDR < 0.3 threshold.",cross-reference in methods,High,all
"Data availability section","Explicitly states the dataset can be explored at tabula-muris-senis.ds.czbiohub.org, gene counts and metadata at figshare (doi.org/10.6084/m9.figshare.8273102.v2), Gene Expression Omnibus accession GSE132042, and raw data at AWS S3 bucket.",explicit reference,High,all
"Code availability section","States all analysis code is available from GitHub at https://github.com/czbiohub/tabula-muris-senis.",explicit reference,High,all
"Supplementary Tables 1-2","Sample size (number of cells per tissue and age) for FACS (Supplementary Table 1) and droplet (Supplementary Table 2).",cross-reference in methods,High,all
"Supplementary Table 3","After batch correction, clustering results used for assessing consistency of cell annotations.",cross-reference in methods,High,all
"Supplementary Table 4","List of previously characterized senescence markers and the fraction of cells expressing each marker across all age groups.",cross-reference in methods,High,all
"Supplementary Table 5","Cell type compositional changes with P values for all tissues analysed, including bladder, kidney, spleen, mammary gland, marrow, skin, and liver.",cross-reference in methods,High,all
"Supplementary Table 6","Differential gene expression results for bladder, kidney, spleen, mammary gland, marrow, skin, liver, and other tissues using MAST.",cross-reference in methods,High,all
"Supplementary Table 7","Sample sizes for in situ RNA hybridization validation experiments in the liver.",cross-reference in methods,High,all
"Supplementary Table 8","Mutation analysis results summarized per gene as mutation count per cell table for FACS data.",cross-reference in methods,High,main_scrna_geo
"Supplementary Table 9","B cell and T cell clonotype assignments from singlecell-ige and TraCeR outputs on FACS data.",cross-reference in methods,High,main_scrna_geo
"Supplementary Table 10","Differential gene expression list for brain myeloid microglial cell clusters comparing young and old clusters, including the 55 of top 200 genes shared with Alzheimer's disease-specific microglial signature.",cross-reference in methods,High,all
